track_name,artist_name
Into You,Ariana Grande
Heavy (feat. Kiiara),Linkin Park
pick up the phone,Young Thug
This Town,Niall Horan
Borro Cassette,Maluma
White Iverson,Post Malone
Low Life,Future
PILLOWTALK,ZAYN
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer
The Mack,Nevada
Stitches,Shawn Mendes
Chillax,Farruko
No Role Modelz,J. Cole
Let Her Go,Passenger
I Love You,Axwell /\ Ingrosso
Slippery (feat. Gucci Mane),Migos
Rolex,Ayo & Teo
Some Way,NAV
The Hills,The Weeknd
Roses,The Chainsmokers
All of Me,John Legend
Hymn For The Weekend - Seeb Remix,Coldplay
Fast Car,Jonas Blue
Rent Money,Future
Cuatro Babys,Maluma
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice
"Me, Myself & I",G-Eazy
Love$ick,Mura Masa
Lush Life,Zara Larsson
Lights Down Low,MAX
Shape of You,Ed Sheeran
Something Just Like This,The Chainsmokers
It Ain't Me (with Selena Gomez),Kygo
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN
Paris,The Chainsmokers
Despacito (Featuring Daddy Yankee),Luis Fonsi
Scared to Be Lonely,Martin Garrix
Chained To The Rhythm,Katy Perry
Issues,Julia Michaels
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit
Castle on the Hill,Ed Sheeran
I Feel It Coming,The Weeknd
Say You Won't Let Go,James Arthur
Closer,The Chainsmokers
That's What I Like,Bruno Mars
Call On Me - Ryan Riback Extended Remix,Starley
Slide,Calvin Harris
Starboy,The Weeknd
Believer,Imagine Dragons
Cold,Maroon 5
Bad and Boujee (feat. Lil Uzi Vert),Migos
Stay (with Alessia Cara),Zedd
"How Far I'll Go - From ""Moana""",Alessia Cara
Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer
Chantaje,Shakira
iSpy (feat. Lil Yachty),KYLE
Just Hold On,Steve Aoki
Bad Things (with Camila Cabello),Machine Gun Kelly
Solo Dance,Martin Jensen
Weak,AJR
All Time Low,Jon Bellion
All Night,The Vamps
Let Me Love You,DJ Snake
Bounce Back,Big Sean
Fake Love,Drake
Don't Wanna Know,Maroon 5
El Amante,Nicky Jam
24K Magic,Bruno Mars
Congratulations,Post Malone
One Dance,Drake
Reggaetón Lento (Bailemos),CNCO
Shed a Light,Robin Schulz
Don't Leave,Snakehips
You Don't Know Me - Radio Edit,Jax Jones
Hear Me Now,Alok
Cold Water (feat. Justin Bieber & MØ),Major Lazer
In the Name of Love,Martin Garrix
Now and Later,Sage The Gemini
Tunnel Vision,Kodak Black
Side To Side,Ariana Grande
Love,Lana Del Rey
T-Shirt,Migos
How Would You Feel (Paean),Ed Sheeran
Starving,Hailee Steinfeld
Mask Off,Future
I Got You,Bebe Rexha
SUBEME LA RADIO,Enrique Iglesias
Otra Vez (feat. J Balvin),Zion & Lennox
Sunset Lover,Petit Biscuit
My Way,Calvin Harris
I Would Like,Zara Larsson
Black Beatles,Rae Sremmurd
Body Like A Back Road,Sam Hunt
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
Water Under the Bridge,Adele
Comin Out Strong,Future
Safari,J Balvin
Human,Rag'n'Bone Man
Alone,Alan Walker
It's Gotta Be You,Isaiah
Swang,Rae Sremmurd
Selfish,Future
September Song,JP Cooper
"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling
Mercy,Shawn Mendes
History,Olivia Holt
Heathens,Twenty One Pilots
Photograph,Ed Sheeran
Treat You Better,Shawn Mendes
Touch,Little Mix
Don't Let Me Down,The Chainsmokers
Scars To Your Beautiful,Alessia Cara
All We Know,The Chainsmokers
Caroline,Aminé
Party Monster,The Weeknd
Vente Pa' Ca,Ricky Martin
La Rompe Corazones,Daddy Yankee
